Afghanistan,661,753,910
Angola,6,,5
Armenia,3,10,49
Azerbaijan,3,15,18
Belarus,10,46,98
Bhutan,"9,134","8,434","5,775"
Burma,"16,299","14,598","18,386"
Burundi,193,68,"1,186"
Cambodia,30,44,
Cameroon,,5,8
Central African Republic,318,25,270
Chad,32,21,16
"China, People's Republic",101,53,30
Colombia,230,252,521
"Congo, Democratic Republic","2,563","4,540","7,876"
"Congo, Republic",161,30,52
Cote d'Ivoire,20,42,28
Cuba,"4,205","4,062","1,527"
Egypt,3,21,13
Eritrea,"1,824","1,488","1,596"
Ethiopia,765,728,626
Gambia,11,,3
Georgia,,13,9
Haiti,,4,
Indonesia,,,3
Iran,"2,579","2,846","3,109"
Iraq,"19,487","19,769","12,676"
Jordan,13,7,
Kazakhstan,11,24,58
Kenya,5,21,3
"Korea, North",17,8,15
Kuwait,12,12,4
Kyrgyzstan,19,8,17
Liberia,94,31,12
Mauritania,,4,
Moldova,119,142,333
Nepal,34,47,26
Nigeria,,4,4
Pakistan,158,240,159
Russia,125,139,281
Rwanda,139,45,173
Sierra Leone,4,6,6
Somalia,"7,608","9,000","8,858"
South Sudan,17,57,79
Sri Lanka,92,57,89
Sudan,"2,160","1,315","1,578"
Syria,36,105,"1,682"
Togo,18,26,
Uganda,15,5,67
Ukraine,227,490,"1,451"
Uzbekistan,51,69,43
Vietnam,69,67,22
Yemen,12,,16
Zimbabwe,12,,7